"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"Christian McCaffrey",CAR,"RB1","1","3","1.1","0.3"
"2",1,"Dalvin Cook",MIN,"RB2","1","6","2.3","0.8"
"3",1,"Alvin Kamara",NO,"RB3","2","22","4.2","2.3"
"4",1,"Saquon Barkley",NYG,"RB4","2","34","6.0","3.4"
"5",2,"Derrick Henry",TEN,"RB5","1","27","6.4","4.5"
"6",2,"Ezekiel Elliott",DAL,"RB6","3","53","8.2","4.7"
"7",2,"Tyreek Hill",KC,"WR1","5","18","8.9","2.2"
"8",2,"Davante Adams",GB,"WR2","5","49","9.6","4.1"
"9",2,"Stefon Diggs",BUF,"WR3","5","24","9.7","3.3"
"10",2,"Austin Ekeler",LAC,"RB7","4","31","9.9","5.8"
"11",2,"Jonathan Taylor",IND,"RB8","3","34","12.1","6.1"
"12",2,"DeAndre Hopkins",ARI,"WR4","5","35","12.6","3.2"
"13",3,"Calvin Ridley",ATL,"WR5","5","39","14.2","3.7"
"14",3,"Aaron Jones",GB,"RB9","4","84","15.2","7.6"
"15",3,"Travis Kelce",KC,"TE1","5","26","16.2","2.9"
"16",3,"Justin Jefferson",MIN,"WR6","5","35","19.4","5.6"
"17",3,"Nick Chubb",CLE,"RB10","5","40","19.9","6.0"
"18",3,"D.K. Metcalf",SEA,"WR7","5","39","20.7","5.3"
"19",3,"Darren Waller",LV,"TE2","13","29","21.2","4.1"
"20",4,"Michael Thomas",NO,"WR8","11","37","21.8","6.8"
"21",4,"A.J. Brown",TEN,"WR9","9","56","22.3","6.6"
"22",4,"Keenan Allen",LAC,"WR10","12","46","22.8","5.5"
"23",4,"Antonio Gibson",WAS,"RB11","6","42","23.4","7.3"
"24",4,"Joe Mixon",CIN,"RB12","7","64","23.6","9.2"
"25",4,"George Kittle",SF,"TE3","14","46","24.6","7.3"
"26",4,"Cam Akers",LAR,"RB13","3","47","24.8","9.2"
"27",4,"Patrick Mahomes II",KC,"QB1","18","56","25.6","11.4"
"28",4,"Allen Robinson II",CHI,"WR11","15","38","26.7","4.2"
"29",4,"Terry McLaurin",WAS,"WR12","15","39","28.4","3.9"
"30",4,"Clyde Edwards-Helaire",KC,"RB14","8","60","31.2","8.4"
"31",5,"Najee Harris",PIT,"RB15","6","274","29.7","29.3"
"32",5,"Amari Cooper",DAL,"WR13","21","64","34.7","4.3"
"33",5,"D'Andre Swift",DET,"RB16","8","112","35.0","10.2"
"34",5,"Robert Woods",LAR,"WR14","16","73","36.1","5.0"
"35",5,"CeeDee Lamb",DAL,"WR15","12","65","36.4","7.1"
"36",5,"Chris Godwin",TB,"WR16","25","72","37.5","5.9"
"37",5,"Mike Evans",TB,"WR17","22","65","39.9","6.3"
"38",5,"Julio Jones",TEN,"WR18","24","118","40.0","8.9"
"39",5,"Chris Carson",SEA,"RB17","21","60","40.5","7.0"
"40",5,"Josh Allen",BUF,"QB2","19","64","42.9","10.2"
"41",5,"D.J. Moore",CAR,"WR19","30","98","43.0","8.0"
"42",5,"J.K. Dobbins",BAL,"RB18","20","69","43.3","9.0"
"43",5,"Miles Sanders",PHI,"RB19","23","71","43.9","8.4"
"44",5,"Diontae Johnson",PIT,"WR20","29","109","43.9","8.2"
"45",5,"David Montgomery",CHI,"RB20","26","67","44.0","7.8"
"46",5,"Cooper Kupp",LAR,"WR21","29","62","44.0","6.3"
"47",6,"Tyler Lockett",SEA,"WR22","33","86","50.0","7.9"
"48",6,"Adam Thielen",MIN,"WR23","32","101","52.3","11.6"
"49",6,"T.J. Hockenson",DET,"TE4","26","127","52.7","9.4"
"50",6,"Myles Gaskin",MIA,"RB21","30","115","52.9","9.0"
"51",6,"Josh Jacobs",LV,"RB22","23","85","53.4","8.2"
"52",6,"Lamar Jackson",BAL,"QB3","19","97","53.6","12.1"
"53",6,"Kenny Golladay",NYG,"WR24","30","129","54.0","10.3"
"54",6,"Kyler Murray",ARI,"QB4","19","95","54.2","7.7"
"55",6,"Mike Davis",ATL,"RB23","28","257","55.0","13.6"
"56",6,"Mark Andrews",BAL,"TE5","26","106","55.6","7.7"
"57",6,"Dak Prescott",DAL,"QB5","19","91","57.9","8.8"
"58",6,"Kyle Pitts",ATL,"TE6","17","108","59.3","17.5"
"59",6,"Tee Higgins",CIN,"WR25","29","88","59.7","9.9"
"60",6,"Travis Etienne",JAC,"RB24","10","259","59.8","25.4"
"61",6,"Kareem Hunt",CLE,"RB25","42","85","60.2","8.9"
"62",6,"Brandon Aiyuk",SF,"WR26","37","90","60.8","10.7"
"63",6,"JuJu Smith-Schuster",PIT,"WR27","48","136","65.7","13.3"
"64",6,"Courtland Sutton",DEN,"WR28","20","147","68.3","10.9"
"65",6,"Odell Beckham Jr.",CLE,"WR29","45","107","68.5","11.3"
"66",7,"Russell Wilson",SEA,"QB6","54","114","69.7","6.4"
"67",7,"Chase Edmonds",ARI,"RB26","24","122","70.2","14.8"
"68",7,"Ja'Marr Chase",CIN,"WR30","12","226","63.1","22.6"
"69",7,"D.J. Chark Jr.",JAC,"WR31","45","111","72.4","11.2"
"70",7,"Chase Claypool",PIT,"WR32","41","99","72.8","9.3"
"71",7,"Robby Anderson",CAR,"WR33","33","149","73.2","11.2"
"72",7,"Justin Herbert",LAC,"QB7","54","117","75.7","9.8"
"73",7,"Tyler Boyd",CIN,"WR34","49","137","76.3","11.0"
"74",7,"Dallas Goedert",PHI,"TE7","53","173","77.3","15.8"
"75",7,"Javonte Williams",DEN,"RB27","22","150","76.8","19.8"
"76",7,"Deebo Samuel",SF,"WR35","38","148","82.0","11.5"
"77",7,"Aaron Rodgers",GB,"QB8","53","110","82.0","12.1"
"78",7,"Jerry Jeudy",DEN,"WR36","35","139","83.3","13.1"
"79",7,"Noah Fant",DEN,"TE8","24","127","83.7","13.5"
"80",7,"Raheem Mostert",SF,"RB28","57","143","83.7","13.1"
"81",7,"Will Fuller V",MIA,"WR37","55","226","86.0","18.9"
"82",7,"James Robinson",JAC,"RB29","44","134","86.0","17.1"
"83",7,"Brandin Cooks",HOU,"WR38","37","178","86.1","14.8"
"84",7,"Melvin Gordon III",DEN,"RB30","45","168","86.9","18.9"
"85",7,"Jalen Hurts",PHI,"QB9","55","254","88.6","19.7"
"86",7,"Logan Thomas",WAS,"TE9","46","153","90.6","19.2"
"87",7,"Curtis Samuel",WAS,"WR39","39","240","91.2","16.2"
"88",7,"Damien Harris",NE,"RB31","52","144","91.6","17.2"
"89",7,"Jarvis Landry",CLE,"WR40","58","155","92.2","11.0"
"90",8,"Tom Brady",TB,"QB10","61","118","92.7","10.5"
"91",8,"DeVonta Smith",PHI,"WR41","48","270","93.0","29.2"
"92",8,"Ryan Tannehill",TEN,"QB11","70","154","93.2","10.9"
"93",8,"David Johnson",HOU,"RB32","52","144","94.5","18.3"
"94",8,"Ronald Jones II",TB,"RB33","57","170","94.8","17.4"
"95",8,"Leonard Fournette",TB,"RB34","57","149","96.2","17.0"
"96",8,"Michael Carter",NYJ,"RB35","52","168","93.5","22.6"
"97",8,"Laviska Shenault Jr.",JAC,"WR42","64","203","100.7","18.3"
"98",8,"Matthew Stafford",LAR,"QB12","68","150","101.2","12.3"
"99",8,"Joe Burrow",CIN,"QB13","38","118","102.7","8.8"
"100",8,"Corey Davis",NYJ,"WR43","50","147","102.9","17.0"
"101",8,"Trey Sermon",SF,"RB36","52","170","100.3","26.2"
"102",8,"Zack Moss",BUF,"RB37","66","168","103.9","18.0"
"103",8,"Kenyan Drake",LV,"RB38","52","260","105.3","15.2"
"104",8,"James Conner",ARI,"RB39","59","206","105.6","19.3"
"105",8,"Antonio Brown",TB,"WR44","45","184","103.8","22.2"
"106",8,"Robert Tonyan",GB,"TE10","53","139","107.2","18.5"
"107",8,"Nyheim Hines",IND,"RB40","71","181","108.7","16.3"
"108",8,"DeVante Parker",MIA,"WR45","74","168","108.8","17.9"
"109",8,"Michael Gallup",DAL,"WR46","74","184","111.0","17.9"
"110",8,"Tyler Higbee",LAR,"TE11","69","193","111.9","21.7"
"111",8,"Mike Gesicki",MIA,"TE12","69","163","112.3","18.1"
"112",8,"Michael Pittman Jr.",IND,"WR47","58","175","113.3","20.7"
"113",8,"Marquise Brown",BAL,"WR48","81","220","114.9","23.4"
"114",8,"Mike Williams",LAC,"WR49","48","198","116.4","21.3"
"115",8,"Jamaal Williams",DET,"RB41","59","176","117.9","15.1"
"116",9,"Irv Smith Jr.",MIN,"TE13","83","191","121.7","17.6"
"117",9,"Devin Singletary",BUF,"RB42","80","185","122.2","15.3"
"118",9,"Marvin Jones Jr.",JAC,"WR50","61","213","122.6","22.3"
"119",9,"Matt Ryan",ATL,"QB14","87","197","123.9","18.7"
"120",9,"Trevor Lawrence",JAC,"QB15","77","348","124.1","28.0"
"121",9,"Tony Pollard",DAL,"RB43","76","201","124.3","18.3"
"122",9,"Evan Engram",NYG,"TE14","26","255","126.1","22.8"
"123",9,"Jaylen Waddle",MIA,"WR51","41","270","123.8","28.8"
"124",9,"Kirk Cousins",MIN,"QB16","103","199","127.3","20.1"
"125",9,"AJ Dillon",GB,"RB44","85","170","128.4","15.1"
"126",9,"Tarik Cohen",CHI,"RB45","84","227","129.4","28.9"
"127",9,"Jonnu Smith",NE,"TE15","69","215","129.6","23.0"
"128",9,"Gus Edwards",BAL,"RB46","84","217","130.1","16.0"
"129",9,"Latavius Murray",NO,"RB47","98","181","131.1","12.4"
"130",9,"Darnell Mooney",CHI,"WR52","73","222","132.5","21.9"
"131",9,"J.D. McKissic",WAS,"RB48","85","187","136.8","21.6"
"132",9,"T.Y. Hilton",IND,"WR53","81","222","138.2","23.5"
"133",9,"Darrell Henderson",LAR,"RB49","80","191","138.9","17.5"
"134",9,"Cole Beasley",BUF,"WR54","83","247","139.9","27.1"
"135",9,"Hunter Henry",NE,"TE16","63","246","141.3","24.7"
"136",9,"Baker Mayfield",CLE,"QB17","114","210","141.6","23.5"
"137",9,"Ryan Fitzpatrick",WAS,"QB18","105","320","144.4","31.3"
"138",9,"James White",NE,"RB50","93","265","145.2","24.2"
"139",9,"Phillip Lindsay",HOU,"RB51","104","277","146.2","21.9"
"140",9,"Carson Wentz",IND,"QB19","91","238","141.9","24.7"
"141",9,"Cole Kmet",CHI,"TE17","78","260","146.8","19.9"
"142",9,"Jalen Reagor",PHI,"WR55","99","216","152.5","22.2"
"143",9,"Rob Gronkowski",TB,"TE18","100","273","152.7","28.9"
"144",9,"Tua Tagovailoa",MIA,"QB20","105","283","153.0","33.4"
"145",9,"Blake Jarwin",DAL,"TE19","92","255","154.4","31.5"
"146",9,"Mecole Hardman",KC,"WR56","81","214","156.0","24.5"
"147",10,"Daniel Jones",NYG,"QB21","105","275","153.0","29.4"
"148",10,"Henry Ruggs III",LV,"WR57","79","220","158.6","25.2"
"149",10,"Russell Gage",ATL,"WR58","73","279","159.3","43.2"
"150",10,"Nelson Agholor",NE,"WR59","102","268","159.7","29.4"
"151",10,"Sterling Shepard",NYG,"WR60","99","317","160.1","36.3"
"152",10,"Austin Hooper",CLE,"TE20","79","267","160.8","29.0"
"153",10,"John Brown",LV,"WR61","111","296","160.9","27.1"
"154",10,"Alexander Mattison",MIN,"RB52","98","329","161.8","22.7"
"155",10,"Jamison Crowder",NYJ,"WR62","97","285","163.4","35.1"
"156",10,"Ben Roethlisberger",PIT,"QB22","114","212","159.5","19.7"
"157",10,"Pittsburgh Steelers",PIT,"DST1","137","234","146.5","14.5"
"158",10,"Los Angeles Rams",LAR,"DST2","140","295","150.8","19.7"
"159",10,"Rashod Bateman",BAL,"WR63","72","373","168.9","47.4"
"160",10,"Baltimore Ravens",BAL,"DST3","129","201","155.9","10.3"
"161",10,"Rashaad Penny",SEA,"RB53","59","274","173.9","24.4"
"162",10,"Tevin Coleman",NYJ,"RB54","83","264","169.3","29.8"
"163",10,"Adam Trautman",NO,"TE21","94","299","167.2","44.3"
"164",10,"Gerald Everett",SEA,"TE22","78","263","171.7","34.6"
"165",10,"Derek Carr",LV,"QB23","116","275","171.9","29.6"
"166",10,"Elijah Moore",NYJ,"WR64","82","328","167.6","46.7"
"167",10,"Christian Kirk",ARI,"WR65","109","240","179.3","25.3"
"168",10,"Parris Campbell",IND,"WR66","64","286","178.2","31.6"
"169",10,"Giovani Bernard",TB,"RB55","80","331","173.5","31.9"
"170",10,"Gabriel Davis",BUF,"WR67","75","298","181.3","33.1"
"171",10,"Justin Fields",CHI,"QB24","95","358","179.3","51.3"
"172",10,"Zach Ertz",PHI,"TE23","53","299","181.1","34.1"
"173",10,"Eric Ebron",PIT,"TE24","106","258","184.2","28.6"
"174",10,"Anthony Firkser",TEN,"TE25","92","352","176.8","40.6"
"175",10,"Jared Cook",LAC,"TE26","96","258","184.0","38.7"
"176",10,"Indianapolis Colts",IND,"DST4","152","264","170.1","18.5"
"177",10,"Justin Tucker",BAL,"K1","118","218","173.8","8.5"
"178",10,"San Francisco 49ers",SF,"DST5","119","225","172.7","17.5"
"179",10,"Tampa Bay Buccaneers",TB,"DST6","140","246","176.8","24.2"
"180",10,"Salvon Ahmed",MIA,"RB56","120","283","186.7","25.1"
"181",10,"Washington Football Team",WAS,"DST7","140","279","172.2","29.3"
"182",10,"Sam Darnold",CAR,"QB25","105","284","188.6","35.0"
"183",10,"Younghoe Koo",ATL,"K2","165","287","185.0","15.3"
"184",10,"Jakobi Meyers",NE,"WR68","124","271","194.3","33.4"
"185",10,"Harrison Butker",KC,"K3","127","276","183.2","13.2"
"186",10,"Breshad Perriman",DET,"WR69","124","286","192.3","27.3"
"187",11,"Emmanuel Sanders",BUF,"WR70","106","332","196.8","28.4"
"188",11,"Allen Lazard",GB,"WR71","111","304","202.0","28.0"
"189",11,"Kenneth Gainwell",PHI,"RB57","110","357","193.4","44.1"
"190",11,"Rondale Moore",ARI,"WR72","102","357","197.1","45.3"
"191",11,"Denzel Mims",NYJ,"WR73","122","347","197.9","32.5"
"192",11,"Darius Slayton",NYG,"WR74","122","345","199.0","31.6"
"193",11,"Buffalo Bills",BUF,"DST8","145","245","190.1","18.7"
"194",11,"Trey Lance",SF,"QB26","103","362","204.3","69.3"
"195",11,"New England Patriots",NE,"DST9","142","307","192.2","21.2"
"196",11,"Zach Wilson",NYJ,"QB27","118","367","206.8","46.6"
"197",11,"Tre'Quan Smith",NO,"WR75","102","290","206.5","37.2"
"198",11,"Kansas City Chiefs",KC,"DST10","140","296","195.7","23.8"
"199",11,"New Orleans Saints",NO,"DST11","159","248","193.4","20.6"
"200",11,"Jameis Winston",NO,"QB28","105","387","207.1","59.8"
"201",11,"Greg Zuerlein",DAL,"K4","136","251","198.4","12.5"
"202",11,"Sony Michel",NE,"RB58","146","384","205.0","37.0"
"203",11,"Marlon Mack",IND,"RB59","110","364","199.7","43.7"
"204",11,"Darrel Williams",KC,"RB60","130","354","208.8","47.9"
"205",11,"Wil Lutz",NO,"K5","141","281","208.5","18.1"
"206",11,"A.J. Green",ARI,"WR76","62","339","212.2","30.2"
"207",11,"Jared Goff",DET,"QB29","150","316","220.9","38.5"
"208",11,"Darrynton Evans",TEN,"RB61","126","329","213.3","42.9"
"209",11,"Jason Sanders",MIA,"K6","179","233","211.3","11.2"
"210",11,"Hayden Hurst",ATL,"TE27","121","319","212.9","40.3"
"211",11,"Cam Newton",NE,"QB30","68","354","226.3","56.9"
"212",11,"Damien Williams",CHI,"RB62","116","354","221.2","45.5"
"213",11,"Amon-Ra St. Brown",DET,"WR77","111","362","219.2","42.4"
"214",11,"Chicago Bears",CHI,"DST12","152","289","217.4","19.2"
"215",11,"Los Angeles Chargers",LAC,"DST13","159","347","219.6","20.3"
"216",11,"Bryan Edwards",LV,"WR78","102","384","225.9","35.8"
"217",11,"Justin Jackson",LAC,"RB63","128","312","224.3","38.5"
"218",11,"Miami Dolphins",MIA,"DST14","145","340","216.2","31.8"
"219",11,"Matt Prater",ARI,"K7","179","302","225.7","15.2"
"220",11,"Marquez Valdes-Scantling",GB,"WR79","174","301","229.9","23.3"
"221",11,"Rodrigo Blankenship",IND,"K8","171","309","225.1","21.4"
"222",11,"Sammy Watkins",BAL,"WR80","127","340","227.0","26.6"
"223",11,"Denver Broncos",DEN,"DST15","166","303","226.6","17.4"
"224",11,"Benny Snell Jr.",PIT,"RB64","144","368","222.8","45.1"
"225",11,"Josh Reynolds",TEN,"WR81","146","298","229.1","31.0"
"226",11,"Chuba Hubbard",CAR,"RB65","134","365","230.0","49.8"
"227",11,"Robbie Gould",SF,"K9","162","302","230.4","14.7"
"228",12,"Cleveland Browns",CLE,"DST16","164","314","233.0","30.5"
"229",12,"Tyler Bass",BUF,"K10","159","332","235.8","33.7"
"230",12,"Terrace Marshall Jr.",CAR,"WR82","101","342","230.1","40.1"
"231",12,"Joshua Kelley",LAC,"RB66","138","343","231.0","37.4"
"232",12,"Carlos Hyde",JAC,"RB67","146","362","227.1","40.9"
"233",12,"Jason Myers",SEA,"K11","189","302","237.7","12.1"
"234",12,"Mark Ingram II",HOU,"RB68","146","361","228.9","42.9"
"235",12,"Dawson Knox",BUF,"TE28","142","363","243.1","30.0"
"236",12,"Ryan Succop",TB,"K12","179","289","238.6","21.9"
"237",12,"Boston Scott",PHI,"RB69","125","322","225.3","40.1"
"238",12,"Seattle Seahawks",SEA,"DST17","159","303","240.2","19.1"
"239",12,"O.J. Howard",TB,"TE29","129","319","240.4","29.1"
"240",12,"Malcolm Brown",MIA,"RB70","119","313","236.9","38.3"
"241",12,"Kadarius Toney",NYG,"WR83","109","343","237.8","39.8"
"242",12,"Jerick McKinnon",KC,"RB71","170","345","241.6","38.6"
"243",12,"Green Bay Packers",GB,"DST18","211","310","242.5","18.9"
"244",12,"KJ Hamler",DEN,"WR84","183","304","243.5","24.8"
"245",12,"Michael Badgley",LAC,"K13","215","309","247.9","13.3"
"246",12,"Chris Herndon IV",NYJ,"TE30","173","344","246.3","29.8"
"247",12,"Randall Cobb",HOU,"WR85","126","311","239.0","32.6"
"248",12,"Minnesota Vikings",MIN,"DST19","164","318","248.2","19.1"
"249",12,"Tim Patrick",DEN,"WR86","157","339","243.3","31.2"
"250",12,"Hunter Renfrow",LV,"WR87","148","315","247.3","27.7"
"251",12,"Tyrell Williams",DET,"WR88","99","376","238.5","50.9"
"252",12,"Anthony Miller",CHI,"WR89","157","364","241.4","34.0"
"253",12,"Mason Crosby",GB,"K14","179","308","253.2","14.1"
"254",12,"Van Jefferson",LAR,"WR90","86","317","246.9","29.2"
"255",12,"Philadelphia Eagles",PHI,"DST20","165","322","254.0","24.8"
"256",12,"Dan Arnold",CAR,"TE31","127","344","253.2","40.2"
"257",12,"La'Mical Perine",NYJ,"RB72","148","348","248.0","38.8"
"258",12,"DeSean Jackson",LAR,"WR91","155","367","253.3","31.1"
"259",12,"Rhamondre Stevenson",NE,"RB73","123","370","245.5","53.5"
