"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1",1,"Patrick Mahomes II",KC,"1","4","1.3","0.7"
"2",1,"Josh Allen",BUF,"1","5","2.4","0.9"
"3",1,"Kyler Murray",ARI,"1","11","3.6","1.0"
"4",1,"Lamar Jackson",BAL,"1","7","3.8","1.4"
"5",2,"Dak Prescott",DAL,"1","10","4.3","1.4"
"6",2,"Russell Wilson",SEA,"3","14","6.5","1.1"
"7",2,"Justin Herbert",LAC,"3","16","7.5","1.5"
"8",2,"Aaron Rodgers",GB,"3","13","8.6","1.8"
"9",3,"Jalen Hurts",PHI,"5","30","9.7","2.8"
"10",3,"Ryan Tannehill",TEN,"7","21","10.3","1.9"
"11",3,"Tom Brady",TB,"5","17","10.3","1.9"
"12",3,"Matthew Stafford",LAR,"6","20","11.9","2.1"
"13",3,"Joe Burrow",CIN,"2","17","12.4","1.7"
"14",3,"Trevor Lawrence",JAC,"11","34","16.0","2.9"
"15",3,"Matt Ryan",ATL,"9","27","16.2","2.8"
"16",4,"Kirk Cousins",MIN,"12","27","16.9","2.6"
"17",4,"Ryan Fitzpatrick",WAS,"13","33","19.4","3.5"
"18",4,"Baker Mayfield",CLE,"14","29","19.7","3.0"
"19",4,"Carson Wentz",IND,"10","28","19.9","3.8"
"20",4,"Tua Tagovailoa",MIA,"13","32","20.4","4.0"
"21",4,"Daniel Jones",NYG,"13","31","21.3","3.6"
"22",4,"Ben Roethlisberger",PIT,"14","28","22.3","2.9"
"23",4,"Derek Carr",LV,"15","31","23.8","3.0"
"24",4,"Justin Fields",CHI,"11","36","23.9","4.9"
"25",4,"Sam Darnold",CAR,"13","32","25.6","3.4"
"26",4,"Trey Lance",SF,"12","39","25.8","6.1"
"27",4,"Jameis Winston",NO,"13","39","26.0","4.8"
"28",5,"Zach Wilson",NYJ,"17","37","26.8","3.6"
"29",5,"Cam Newton",NE,"6","37","27.8","4.9"
"30",5,"Jared Goff",DET,"20","34","28.1","2.3"
"31",5,"Taysom Hill",NO,"12","39","31.5","4.4"
"32",5,"Teddy Bridgewater",DEN,"26","39","32.8","2.6"
"33",5,"Jimmy Garoppolo",SF,"22","41","33.2","3.2"
"34",5,"Drew Lock",DEN,"23","39","33.9","2.6"
"35",5,"Deshaun Watson",HOU,"5","88","31.1","10.1"
"36",5,"Tyrod Taylor",HOU,"21","40","34.1","3.2"
"37",5,"Mac Jones",NE,"29","39","34.7","2.2"
"38",6,"Andy Dalton",CHI,"29","41","36.7","2.1"
"39",6,"Jordan Love",GB,"21","65","40.5","5.4"
"40",6,"Davis Mills",HOU,"31","55","40.5","4.5"
"41",6,"Gardner Minshew II",JAC,"24","49","40.9","3.2"
"42",6,"Mitchell Trubisky",BUF,"29","47","40.1","3.0"
"43",6,"Taylor Heinicke",WAS,"38","84","43.7","9.4"
"44",6,"Marcus Mariota",LV,"34","45","42.0","2.2"
"45",7,"Jacoby Brissett",MIA,"40","51","44.5","3.3"
"46",7,"Nick Foles",CHI,"39","75","52.1","9.6"
"47",7,"Kellen Mond",MIN,"42","71","49.3","9.0"
"48",7,"Phillip Walker",CAR,"39","55","47.0","5.5"
"49",7,"Kyle Trask",TB,"42","66","50.9","5.9"
"50",7,"Mason Rudolph",PIT,"41","61","53.3","6.1"
"51",7,"Dwayne Haskins",PIT,"39","73","54.6","10.5"
"52",7,"Brandon Allen",CIN,"48","70","56.0","6.2"
"53",7,"Chad Henne",KC,"45","55","50.3","2.8"
"54",7,"Joe Flacco",PHI,"43","59","52.6","5.3"
"55",7,"Jacob Eason",IND,"42","67","55.8","6.6"
"56",7,"Kyle Allen",WAS,"39","67","57.9","9.5"
"57",7,"Case Keenum",CLE,"45","63","54.0","5.8"
"58",7,"John Wolford",LAR,"46","61","55.1","5.5"
"59",7,"Chase Daniel",LAC,"43","72","61.1","6.4"
"60",7,"Trace McSorley",BAL,"44","67","55.2","6.6"
"61",7,"Geno Smith",SEA,"45","75","62.9","9.9"
"62",7,"Garrett Gilbert",DAL,"41","68","58.0","7.8"
"63",7,"Nick Mullens",PHI,"43","84","65.9","9.8"
"64",7,"AJ McCarron",ATL,"52","97","62.5","16.0"
"65",8,"Blake Bortles",GB,"39","90","65.3","15.6"
"66",8,"Sam Ehlinger",IND,"40","86","65.3","11.5"
"67",8,"James Morgan",NYJ,"34","86","57.0","18.1"
"68",8,"Colt McCoy",ARI,"44","74","57.6","9.3"
"69",8,"Blaine Gabbert",TB,"51","77","63.8","10.0"
"70",8,"Mike Glennon",NYG,"49","84","64.0","11.7"
"71",8,"Jeff Driskel",HOU,"44","89","65.8","15.0"
"72",8,"Jarrett Stidham",NE,"51","73","67.6","3.3"
"73",8,"Tim Boyle",DET,"40","78","59.3","13.4"
"74",8,"C.J. Beathard",JAC,"61","85","69.4","8.6"
"75",8,"Chris Streveler",ARI,"40","93","68.8","19.7"
"76",8,"Logan Woodside",TEN,"56","62","58.7","2.5"
"77",8,"Jamie Newman",PHI,"47","67","60.3","9.4"
"78",8,"Clayton Thorson",NYG,"47","94","74.3","17.7"
"79",8,"Ian Book",NO,"59","108","77.3","18.5"
"80",8,"Feleipe Franks",ATL,"52","62","57.0","5.0"
"81",9,"Tyler Huntley",BAL,"65","91","81.7","11.8"
"82",9,"David Blough",DET,"60","99","83.3","16.8"
"83",9,"Cooper Rush",DAL,"76","93","83.3","7.1"
"84",9,"Brett Rypien",DEN,"67","80","73.5","6.5"
"85",9,"Will Grier",CAR,"61","102","85.7","17.8"
"86",9,"Brian Hoyer",NE,"73","123","90.7","22.9"
"87",9,"Jake Luton",JAC,"74","78","76.0","2.0"
"88",9,"Jake Fromm",BUF,"74","100","87.3","10.6"
"89",9,"Shane Buechele",KC,"78","112","90.0","15.6"
"90",9,"Kyle Lauletta",CLE,"79","83","81.0","2.0"
"91",9,"Nate Stanley",MIN,"75","115","92.7","16.7"
"92",9,"Steven Montez",WAS,"66","116","93.3","20.7"
"93",9,"Easton Stick",LAC,"81","101","92.3","8.4"
"94",9,"Alex McGough",SEA,"82","89","85.5","3.5"
"95",9,"Mike White",NYJ,"87","107","93.7","9.4"
"96",9,"Drew Stanton",TB,"63","129","96.0","33.0"
"97",9,"Danny Etling",SEA,"77","96","86.5","9.5"
"98",9,"Anthony Gordon",KC,"82","92","87.0","5.0"
"99",9,"Joshua Dobbs",PIT,"77","106","94.3","12.5"
"100",9,"Ben DiNucci",DAL,"70","105","87.5","17.5"
"101",9,"Josh Rosen",SF,"76","103","89.5","13.5"
"102",9,"Bryce Perkins",LAR,"80","106","93.0","13.0"
"103",9,"Trevor Siemian",NO,"83","124","103.7","16.7"
"104",9,"Devlin Hodges",LAR,"85","104","94.5","9.5"
"105",9,"DeShone Kizer",TEN,"92","97","94.5","2.5"
"106",9,"Reid Sinnett",MIA,"82","117","99.5","17.5"
"107",10,"Jake Browning",MIN,"96","99","97.5","1.5"
"108",10,"Ryan Griffin",TB,"87","122","104.5","17.5"
"109",10,"Davis Webb",BUF,"90","120","105.0","15.0"
"110",10,"Nathan Peterman",LV,"95","113","104.0","9.0"
"111",10,"Nate Sudfeld",SF,"102","105","103.5","1.5"